smiles,Carcinogens_Lagunin
CC(CCl)OC(C)CCl,1
COc1ccc(C(=O)/C(Br)=C\C(=O)O)cc1,1
O=S(=O)(O)c1cc(S(=O)(=O)O)c2c(/N=N/c3ccccc3)c(O)ccc2c1,1
O=S(=O)(O)c1ccc(/N=N/c2cc(S(=O)(=O)O)c3ccccc3c2O)c2ccccc12,1
ClCc1ccccn1,1
NCCNc1cccc2ccccc12,1
O=S(=O)(O)c1ccc(/N=N/c2c(O)ccc3cc(S(=O)(=O)O)ccc23)cc1,1
CC1(C)SC2C(NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@@H]1C(=O)O,1
N=C1C=CC(=C(c2ccc(N)cc2)c2ccc(N)cc2)C=C1,1
O=C/C=C\O,1
C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O,1
C=CCNN,1
CCC1NC(=O)C2C(Cl)C(Cl)CN2C(=O)C(C(C)O)NC(=O)CC(c2ccccc2)NC(=O)C(CO)NC1=O,1
CCCCNNCCCC,1
CCCCNN,1
CCN(Cc1cccc(S(=O)(=O)O)c1)c1ccc(C(=C2C=CC(=[N+](CC)Cc3cccc(S(=O)(=O)[O-])c3)C=C2)c2ccc(N(C)C)cc2)cc1,1
Cc1cc(C)c(/N=N/c2cc(S(=O)(=O)O)c3ccccc3c2O)c(S(=O)(=O)O)c1,1
O=S(=O)(O)c1ccc2c(/N=N/c3ccc(S(=O)(=O)O)c4ccccc34)c(O)c(S(=O)(=O)O)cc2c1,1
Cc1cc(C)c(/N=N/c2c(O)c(S(=O)(=O)O)cc3cc(S(=O)(=O)O)ccc23)cc1C,1
Cc1ccc(/N=N/c2c(O)c(S(=O)(=O)O)cc3cc(S(=O)(=O)O)ccc23)c(C)c1,1
CCN(Cc1cccc(S(=O)(=O)O)c1)c1ccc(C(=C2C=CC(=[N+](CC)Cc3cccc(S(=O)(=O)[O-])c3)C=C2)c2ccccc2)cc1,1
CCNN,1
C=C/C1=C/C(C)(C)[C@](C)(OC(C)=O)C(=O)OC/C2=C/CN(C)CC[C@@H](OC1=O)C2=O,1
Cn1cc(C(=O)O)c(=O)c2ccc(/C=C/c3ccc([N+](=O)[O-])o3)nc21,1
CCCCCNN,1
CCCNN,1
CCC1(c2ccccc2)C(=O)N=C(O)NC1=O,1
Nc1nc2c(ncn2[C@H]2CC(O)[C@@H](CO)O2)c(=S)[nH]1,1
CC/N=c1\cc2oc3cc(NCC)c(C)cc3c(-c3ccccc3C(=O)OCC)c-2cc1C,1
Nc1c(F)c(N)c(F)c(F)c1F,1
Cc1cc(C)cc(S(=O)(=O)O)c1,1
CN(C)c1ccc(/N=N/S(=O)(=O)O)cc1,1
Cc1c(N(C)CS(=O)(=O)O)c(=O)n(-c2ccccc2)n1C,1
O=C1/C(=C2\Nc3ccc(S(=O)(=O)O)cc3C2=O)Nc2ccc(S(=O)(=O)O)cc21,1
CC(O)CNC(=O)N(N=O)C(C)Cl,1
C=CCNNCC=C,1
CCC(OC(C)=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,1
CN(C)CCN(CCN=O)C(N)=O,1
CCCCCCCCCCCCNC(=N)N,1
C#C[C@@]1(O)CC[C@]2(C)[C@]1(C)CC[C@]1(C)c3ccc(O)cc3CC[C@]12C,1
CCN(CC)CCCNC(=O)Cn1ncc(-c2ccccc2)c1-c1ccccc1,1
CNCCc1ccc(OC(=O)C(C)C)c(OC(=O)C(C)C)c1,1
O=NCNc1ncnc2[nH]cnc12,1
Cc1ccc(S(=O)(=O)OCC(N)CN=O)cc1,1
CC(O)CN(C)c1ccc(NN)nn1,1
Cc1ccccc1OCC(O)CNCCn1cc(C)c(=O)[nH]c1=O,1
O=S(=O)(O)c1cc(S(=O)(=O)O)c2c(/N=N\c3ccc(S(=O)(=O)O)c4ccccc34)c(O)ccc2c1,1
O=S(=O)(O)c1c(/N=N/c2c(O)ccc3ccccc23)ccc2ccccc12,1
CC(=O)C(/N=N\c1ccc(Cl)cc1Cl)C(=O)Nc1ccc(-c2ccc(NC(=O)C(/N=N/c3ccc(Cl)cc3Cl)C(C)=O)c(C)c2)cc1C,1
O=C(O)C1=NN(c2ccc(S(=O)(=O)O)cc2)C(=O)C1/N=N/c1ccc(S(=O)(=O)O)cc1,1
CN1C2CCC1CC(NC(=O)c1cc(Cl)cc3c1OC(C)(C)C3)C2,1
CC(=O)Nc1cc2ccccc2oc1=O,0
COC(=O)C1=CO[C@@H](C)[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@H]12,0
CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C)C(C)C,0
CO[C@@]1(NC(=O)Cc2cccs2)C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@@H]21,0
Cc1c(N)c(=O)n(-c2ccccc2)n1C,0
CO[C@@]1(NC(=O)CSCC#N)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@@H]21,0
Cn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](O)c3ccccc3)[C@H]2SC1,0
CCC(=O)OC1(C(=O)CCl)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,0
CCCC(=O)Nc1ncnc2c1ncn2[C@@H]1O[C@@H]2OP(=O)(O)OC[C@H]2[C@H]1OC(=O)CCC,0
CO[C@@]1(NC(=O)[C@H](C(=O)O)c2ccc(O)cc2)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CO[C@@H]21,0
CCCCCN(CCCCC)C(=O)C(CCC(=O)O)NC(=O)c1ccc(Cl)c(Cl)c1,0
CNCC(O)C(O)C(O)C(O)CO,0
Nc1nc2[nH]nnc2c(=O)[nH]1,0
Cn1cnc([N+](=O)[O-])c1Sc1ncnc2[nH]cnc12,0
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCNC3=O)c3ccccc3)C(=O)N2[C@H]1C(=O)O,0
CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,0
CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4[C@@](C)(O)C3C[C@@H]12,0
C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccccc12,0
C/C(=C(\CCOP(=O)(O)O)SC(=O)c1ccccc1)N(C=O)Cc1cnc(C)nc1N,0
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,0
CNC(C)(C)Cc1ccccc1,0
CN1CCc2cc3c(cc2[C@H]1[C@@H]1OC(=O)c2c1ccc1c2OCO1)OCO3,0
CC1(O)CCOC(=O)C1,0
O=C1OC2(c3cc(Br)c(O)cc3Oc3c2cc(Br)c(O)c3[Hg]O)c2ccccc21,0
O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](O)[C@H]1O,0
C[C@]12CC[C@H]3[C@@H](CC[C@]4(O)C[C@@H](O)CC[C@]34C=O)[C@@]1(O)CC[C@@H]2C1=CC(=O)OC1,0
COc1ccc(C(=O)OC2C[C@H]3CC[C@H](C2)N3C)cc1OC,0
OC(CCN1CCCCC1)(c1ccccc1)c1ccccc1,0
O=c1cccc2n1C[C@@H]1CNC[C@H]2C1,0
C=C(C)[C@@H]1C2C(=O)O[C@H]1[C@H]1OC(=O)[C@@]34OC3C[C@]2(O)[C@@]14C,0
COc1ccc(C(=O)/C(Br)=C\C(=O)O)cc1,0
CC1=CC(=O)C2=C(C)C[C@H](O)[C@H]3[C@H](C)C(=O)O[C@@H]3[C@@H]12,0
COc1c2ccoc2nc2c(OC)c(OC[C@@H](O)C(C)(C)O)ccc12,0
Cn1c(-c2ccc3c(c2)OCO3)cc(=O)c2ccccc21,0
CCN(CC)C(=O)N1CCN(C)CC1,0
C[C@]12CC[C@H](O)C[C@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](C3=CC(=O)OC3)CC[C@]12O,0
CN1CCC2=C[C@H](O)[C@H]3OC(=O)c4cc5c(cc4[C@H]3[C@@H]21)OCO5,0
COc1cc(C(=O)OCCCN2CCCN(CCCOC(=O)c3cc(OC)c(OC)c(OC)c3)CC2)cc(OC)c1OC,0
C=C1[C@@H]2C[C@]3([C@@H]1O)[C@H]1C[C@@H]4[C@@]5(C)CC[C@H](O)[C@@]4(C1N(CC)C5)[C@@H]3C[C@@H]2O,0
c1ccc2c3c([nH]c2c1)[C@H]1C2CCC([C@@H]4CCCN[C@H]24)N1CC3,0
CN1C(C)(C)CCCC1(C)C,0
c1cncc([C@H]2CCCCN2)c1,0
COc1ccc2c(OC)c3ccoc3nc2c1OC,0
CO[C@H]1C=C2CCN(C)[C@H]2C2c3cc4c(cc3C(=O)O[C@@H]21)OCO4,0
CN/C(=C/[N+](=O)[O-])NCCSCc1csc(CN(C)C)n1,0
C[N+]1(C)C[C@@H](O)C[C@H]1C(=O)[O-],0
c1cncc(C2=NCCC2)c1,0
CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,0
N=C(CCSCc1csc(N=C(N)N)n1)NS(N)(=O)=O,0
C[C@@H]1NC(=O)NC1=O,0
O=C1OC(CN2CCOCC2)CN1/N=C/c1ccc([N+](=O)[O-])o1,0
CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4[C@@H](O)[C@H]3C[C@@H]12,0
CN(C)CCOC(c1ccc(Cl)cc1)c1ccccn1,0
CN(C)Cc1c[nH]c2ccccc12,0
COc1ccc2c3c([nH]c2c1)C(C)=NCC3,0
CC1=NCCc2c1[nH]c1cc(O)ccc21,0
Cc1nccc2c1[nH]c1ccccc12,0
Cc1nccc2c1[nH]c1cc(O)ccc12,0
O=S(=O)(O)c1ccc(/N=N/c2cc(S(=O)(=O)O)c3ccccc3c2O)c2ccccc12,0
COc1ccc2c(c1OC)C(=O)O[C@@H]2[C@H]1c2cc3c(cc2CCN1C)OCO3,0
COc1c2c(cc3c1OCO3)CCN(C)C2,0
Cc1c(O)c(=O)n(-c2ccccc2)n1C,0
COc1ccc2c(c1O)-c1c(OC)c(OC)cc3c1[C@H](C2)N(C)CC3,0
CC(=O)N[C@@H](CC(=O)N[C@H](CCC(=O)O)C(=O)O)C(=O)O,0
S=C(NC1CCCCC1)N1CCC(C2C=NC=N2)CC1,0
N=C(N)NOCC[C@H](N)C(=O)O.O,0
COc1ccc(CC2c3cc(OC)c(OC)cc3CCN2C)cc1OC,0
CCC[C@@H]1C[C@@H](C(=O)N[C@H]([C@@H](C)O)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@@H]2O)N(C)C1,0
CN1C(CC(O)c2ccccc2)CCCC1CC(O)c1ccccc1,0
CN1[C@H](C[C@H](O)c2ccccc2)CCC[C@@H]1CC(=O)c1ccccc1,0
COC1=C[C@@H]2C3=C([C@@H](NC(C)=O)CCc4cc(OC)c(OC)c(OC)c43)[C@@H]2C1=O,0
CN1C[C@H](CO)C=C2c3cccc4[nH]cc(c34)C[C@H]21,0
COc1ccc2[nH]cc(CCNC(C)=O)c2c1,0
COc1ccc2[nH]c3c(c2c1)CCN=C3C,0
C[C@H]1C(=O)O[C@@H]2CCN3CC=C(COC(=O)[C@](C)(O)[C@]1(C)O)[C@H]23,0
O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,0
CNc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,0
COc1cc2c(c(OC)c1OC)-c1ccc(O)c(=O)cc1[C@@H](N)CC2,0
CN1Cc2c(N)cccc2C(c2ccccc2)C1,0
CC(N/C(=N/C#N)Nc1ccncc1)C(C)(C)C,0
COc1cc(/C=C/C(=O)N2CCC=CC2=O)cc(OC)c1OC,0
c1ccc(CNc2ncnc3nc[nH]c23)cc1,0
CN1C2CCCC1CC(=O)C2,0
CC(=O)N([Na])S(=O)(=O)c1ccc(N)cc1,0
C=C1C/C(=C/C)C(=O)O[C@@H]2CCN3CC=C(COC(=O)[C@]1(C)O)[C@H]23,0
C[N+]1(C)CCC[C@H]1C(=O)[O-],0
C[C@H]1CC[C@]2(NC1)O[C@H]1C[C@H]3[C@@H]4CC[C@H]5C[C@@H](O)CC[C@]5(C)[C@H]4CC[C@]3(C)[C@H]1[C@@H]2C,0
C(#CCN1CCCC1)CN1CCCC1,0
O=C(O)[C@H]1[C@@H](O)CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@@H]21,0
C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccccc12,0
Cc1ccsc1/C=C/C1=NCCCN1C,0
C[N+]1([O-])[C@H]2C[C@H](OC(=O)[C@H](CO)c3ccccc3)C[C@@H]1[C@H]1O[C@@H]21,0
O=C(O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,0
C/C=C1/C[C@@H](C)[C@](O)(CO)C(=O)OCC2=CCN3CC[C@@H](OC1=O)[C@@H]23,0
C[C@@H]1NCCc2cc(O)c(O)cc21,0
N/N=C1\N=NC=C2C=CC=CC21,0
C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,0
C[C@@H]1C(=O)O[C@H]2CC34[C@H]5C[C@@H](C(C)(C)C)[C@]36[C@@H](OC(=O)[C@@H]6O)O[C@@]4(C(=O)O5)[C@]21O,0
CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)C3(F)C(=O)C[C@@]21C,0
CCCOc1ccccc1-c1nc(=O)c2[nH]nnc2[nH]1,0
CN1CCC(=C2c3ccccc3Sc3ccccc32)CC1,0
Nc1c(O)cccc1C(=O)CC(N)C(=O)O,0
COC(=O)[C@@H]1[C@@H](O)CC[C@@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@@H]21,0
Cc1n[nH]c(=O)[nH]c1=O,0
O=C(O)CNC(=O)C(CS)Cc1ccccc1,0
C[C@]12CC[C@H]3[C@@H](CC[C@H]4C[C@@H](O)CC[C@@]43C)[C@@H]1CCC2=O,0
NCCC(=O)NCCc1c[nH]cn1,0
CC(=O)N[C@@H](CC(=O)O)C(=O)O,0
CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](N)[C@H]2SC1,0
CC[C@H]1C2C[C@H]3[C@@H]4N(C)c5ccccc5C45C[C@H](C2[C@H]5O)N3[C@@H]1O,0
CC(=O)N[C@H]1[C@@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O[C@H](C)C(=O)O,0
CN1CC[C@]23c4ccccc4N[C@H]1[C@]21CCN(C)[C@H]3Nc2ccccc21,0
CC[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,0
O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1,0
CSc1ccc2c(c1)C(N1CCN(C)CC1)Cc1ccccc1S2,0
CNCCC[C@]12CC[C@H](c3ccccc31)c1ccccc12,0
COC(=O)[C@@H]1[C@@H](O)CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@H]12,0
COc1cc(N)c(Cl)cc1C(=O)NC1CCN(Cc2ccccc2)CC1,0
CN(C)CCC(c1ccccc1)c1ccccn1,0
N=C(N)NCc1cccc(I)c1,0
CS(=N)(=O)CC[C@H](N)C(=O)O,0
CNCCC=C1c2ccccc2C=Cc2ccccc21,0
O=C1CN(/N=C/c2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(O)=N1,0
N[C@@H](Cn1ccc(=O)c(O)c1)C(=O)O,0
CNCCc1ccccn1,0
CN[C@H]1[C@@H](O)[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](OC3OC(CN)=CCC3N)[C@@H]2O)OC[C@@]1(C)O,0
Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)O)O2,0
CC[C@]12CCCN3CCc4c(n(c5ccccc45)[C@](O)(C(=O)OC)C1)[C@@H]32,0
C=C1C(=O)O[C@H]2[C@H]1CC/C(C)=C/CC[C@@]1(C)O[C@H]21,0
CC(Cc1ccccc1)NCCC(c1ccccc1)c1ccccc1,0
CN(C)CCOC(C)(c1ccccc1)c1ccccn1,0
CC(=O)c1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2,0
O=C1C=CC(=O)c2c1ccc1c2ccc2ccccc21,0
C[C@]12N[C@H](Cc3ccccc31)c1ccccc12,0
c1ccc2nc(N3CCNCC3)ccc2c1,0
CNCC(O)c1ccc(O)c(OC)c1,0
COc1ccc([C@@H]2CC(=O)c3c(O)cc(O)cc3O2)cc1O,0
CCCCCC[C@H]1C(=O)O[C@H](C)C(NC(=O)c2cccc(NC=O)c2O)C(=O)O[C@@H](C)[C@@H]1OC(=O)CC(C)C,0
CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3cccs3)[C@H]2SC1,0
Nc1ncn(C2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,0
Nc1ncnc2c1ncn2C1O[C@H](CO)[C@@H](O)[C@@H]1O,0
N/C(=N\C(=O)c1nc(Cl)c(N)nc1N)NCc1ccccc1,0
COc1ccc2c(c1)N(C[C@H](C)CN(C)C)c1ccccc1S2,0
COCCc1ccc(OCC(O)CNC(C)C)cc1,0
Cn1ccnc1S,0
Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,0
COc1cc(C(=O)O[C@@H]2C[C@@H]3CC[C@H](C2)N3C)ccc1O,0
COc1cc(=O)n(C)c2c(OCC(O)C(C)(C)O)cccc12,0
CO[C@H](C)C(O)(C(=O)OCC1=CCN2CC[C@H](O)[C@@H]12)C(C)C,0
CCN1C[C@]2(C)CC[C@H](O)[C@]34C1[C@H](C[C@@H]32)[C@@]1(O)C[C@H](OC)[C@H]2C[C@@H]4[C@@H]1C2O,0
COc1ccn(C)c(=O)c1C#N,0
C[C@H]1[C@H]2[C@H](C[C@H]3[C@@H]4CC=C5C[C@@H](O)CC[C@]5(C)[C@H]4CC[C@@]32C)O[C@]12CC[C@@H](C)CN2,0
CN(N=O)C(=O)N[C@H]1[C@@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O,0
C=C[C@]12CN(C)[C@@H]3[C@H]4COC(CC41)[C@]1(C(=O)Nc4ccccc41)[C@@H]32,0
N=C(N)NCCCCNC(=N)N,0
O=c1cc(-c2ccc(O)cc2)oc2c(C3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)cc(O)c12,0
CCOc1ccc2c(c1)C(C)=CC(C)(C)N2,0
CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)cc1,0
COc1ccc2cc1Oc1ccc(cc1)C[C@H]1c3cc(c(OC)cc3CCN1C)Oc1c(OC)c(OC)cc3c1[C@H](C2)N(C)CC3,0
CC(=O)c1cc2ccccc2oc1=O,0
CN1[C@@H]2CC(=O)C[C@H]1[C@H](O)C2,0
COc1ccc2c3c([nH]c2c1)[C@H]1C[C@H]2[C@H](C[C@@H](O)[C@H](OC)[C@H]2C(=O)O)CN1CC3,0
COc1cc2ccc(=O)oc2cc1O,0
C=C(C)[C@@H]1CC[C@]2(CO)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,0
Clc1cnccn1,0
O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12,0
O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,0
CN1C2CCC1CC(O)C2,0
O=C(O)C=Cc1ccc(O)c(O)c1,0
O=c1ccc2cc(O)c(O)cc2o1,0
CC(C)=CCC/C(C)=C/CC1=C(C)C(=O)c2ccccc2C1=O,0
COc1c2c(nc3ccccc13)OC(C(C)(O)CO)C2,0
CC1=CC(=O)C2=C(C)CC[C@H]3[C@H](C)C(=O)O[C@@H]3[C@@H]12,0
Nc1ncnc2c1ncn2[C@@H]1O[C@@H]2COP(=O)(O)OC2C1O,0
CN1CC[C@@]2(C)c3cc(O)ccc3N(C)[C@H]12,0
CC(C)NC[C@@H](O)c1ccc(O)c(O)c1,0
Nc1ccccc1S(N)(=O)=O,0
C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CCC2=O,0
CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CCC(=O)[C@@]4(C)CC[C@@H]32)C1,0
C[C@]12CC[C@H](O)C[C@H]1CC[C@@H]1[C@@H]2C[C@@H](O)[C@]2(C)[C@@H](C3=CC(=O)OC3)CC[C@]12O,0
CN(C)CCCSC(=N)N,0
O[C@@H]1CCCC[C@H]1N1CCC(c2ccccc2)CC1,0
COC(=O)Nc1nc2cc(SC(C)C)ccc2[nH]1,0
CN(C)[C@@H]1CCCCC(OC2c3ccccc3CCc3ccccc32)C1,0
C=C1C[C@]23C[C@@]1(O)CC[C@H]2[C@@]12C=C[C@H](O)[C@@](C)(C(=O)O1)[C@H]2[C@@H]3C(=O)O,0
COc1ccc(C[C@@](C)(N)C(=O)O)cc1OC,0
CN1CCC(=C2c3ccccc3CCc3sccc32)CC1,0
O=C(O)[C@]1(O)C[C@H](O)[C@@H](O)[C@@H](O)C1,0
